연번,상호명,업종,연락처,자치구,소재지,판매메뉴
160,라뽀즈,카페,02-6080-0027,마포구,서울 마포구 양화로6길 60,"애플진저 케이크(비건), 통밀 딸기 케이크(비건), 통밀 코코넛 레몬케이크(비건), 말차인절미with콩고물(비건), 쌀 밀크티스콘(비건), 쌀 초코 스콘(비건), 초코케이크with코코넛크림(비건), 통밀 두부브라우니(비건), 통밀 얼그레이 케이크(비건)"
161,라페름,양식,02-790-6685,용산구,서울 용산구 이태원로54길 32,"두부 망고 샐러드(락토,비건가능), 병아리콩 샐러드(락토,비건가능), 아보카도 샐러드(락토,비건가능), 렌틸 연어 스테이크(페스코), 빵과 슈퍼 스프레드(락토,비건가능)"
162,러빙헛 스마일,한식,02-578-0512,강남구,서울 강남구 논현로6길 18,"빨개 오뎅 (비건), 비건 두부면탕(비건), 카레 햄프 떡볶이(비건), GF 파스타(비건), GF 들기름 샐러드 누들(비건), 카레 쌀가츠 멘(비건), 유기농 샐러드 스페셜(비건), 비건 너비아니(비건), 비건 탕수채(비건), 소이 후라이드(비건), 양념 소이 후라이드(비건), 비건 슈슈버거 세트(비건), 머쉬룸 버거 스페셜(비건), 히어로 버거 세트(비건), 채소 비빔밥(비건), 비건 커리(비건), 쌀 떡볶이(비건), 비건 키토 김밥(비건), 비건 불구이 김밥(비건), 비건 짬뽕(비건), 비건 냉면(비건), 쌀가츠 라멘(비건), 비건 도시락(비건), 베지 도시락(비건), VIP 비건채식 도시락(비건), 비건 피스 도시락(비건), 비건 아보카도 스테이크 도시락(비건), 비건 함박스테이크 도시락(비건), 덮밥 도시락(비건), 스페셜 오더 도시락(비건), 스페셜 도시락(비건), 너비아니 쌈밥 도시락(비건), 비건 쌀까스 도시락(비건), 유기농 비건 치즈 김밥(비건), 비건 비빔밥 스페셜 도시락(비건), 유기농 비건 샌드위치(비건), 쌀까스 버거(비건), 비건 케이터링(비건)"
163,러빙헛 카페,양식,02-576-2158,강남구,서울 강남구 개포로22길 35,"토마토 파스타(비건), 소이 커틀릿(비건), 순두부 스페셜(비건), 노블 볶음밥(비건), 뚝배기 콩불구이(비건), 소이 커틀릿 버거(비건), 유기농 칠곡와플(비건), 프렌치 프라이(비건), 소이 스테이크 버거(비건), 냉면(비건), 소이 케이준샐러드(비건), 토마토 파스타(비건), 소이 후라이드 (비건), 소이 후라이드 (비건), 군만두(비건)"
164,레드라인,카페,070-7604-5686,강북구,서울 강북구 삼양로87길 30,비건큐브초코케이크(비건)
165,레스토랑 바이 농축원,양식,02-2278-0111,중구,서울 중구 동호로24길 19,"방울양배추(비건), 아보카도 샐러드(비건), 알리오 올리오 (비건), 뽀모도로 파스타 (비건), 카치오페페 파스타(락토)"
166,로드샌드위치,양식,02-363-4554,서대문구,서울 서대문구 연대동문길 45 1층 로드샌드위치,"비건샌드위치(비건),베지샌드위치(락토오보),버섯샐러드(비건),베지테리안피자(락토)"
167,로라오븐,베이커리,010-8224-4929,중랑구,서울 중랑구 사가정로 409 대도빌딩A 1층,"비건과일파운드(비건), 비건리얼머핀(비건), 블랙오트밀 비건튀일(비건), 아몬드코코넛 비건쿠키(비건)"
168,로봇김밥 (강남고속터미널),분식,02-595-9006,서초구,서울 서초구 신반포로 194,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
169,로봇김밥 (강남역),분식,02-3452-9993,강남구,서울 강남구 테헤란로 101,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
170,로봇김밥 (김포공항),분식,02-2663-9994,강서구,서울 강서구 하늘길 112 국내선청사 4층,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
171,로봇김밥 (롯데월드),분식,02-2143-1261,송파구,서울 송파구 올림픽로 240,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
172,로봇김밥 (세브란스),분식,02-2227-8297,서대문구,서울 서대문구 연세로 50-1 연세의료원,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
173,로봇김밥 (신분당선양재역),분식,02-794-9595,서초구,서울 서초구 남부순환로 2585,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
174,로봇김밥 (연대),분식,02-2227-8297,서대문구,서울 서대문구 연세로 50-1,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
175,로봇김밥 (현대시티아울렛동대문),분식,02-2283-2236,중구,서울 중구 장충단로13길 20,"포레스트 김밥(비건), 로봇건강한줄(오보,비건가능), 크림치즈포레스트(락토), 몸에좋은아몬드호두멸치크림치즈김밥(페스코), 연어포레스트김밥(페스코), 연어크림치즈김밥(페스코), 매콩쫄면(오보,비건가능)"
176,로컬릿,양식,02-2282-1124,성동구,서울 성동구 한림말길 33 2층,"채소테린 플레이트(비건), 가지 라자냐(락토,비건가능), 뽀모도로(락토,비건가능), 호박 까넬로니(락토,비건가능), 시금치뇨끼(락토)"
177,롤링파스타 (강남역씨티),양식,02-557-2223,강남구,서울 강남구 테헤란로1길 25,"마르게리따(락토), 고르곤졸라(락토), 그린샐러드(비건), 크림치즈 샐러드(락토)"
178,롤링파스타 (성신여대),양식,02-927-7779,성북구,서울 성북구 동소문로22길 5,"마르게리따(락토), 고르곤졸라(락토), 그린샐러드(비건), 크림치즈 샐러드(락토)"
179,롯데리아 (GS마트상계),양식,02-2091-0058,노원구,서울 노원구 한글비석로 471 LG슈퍼마켓,"리아미라클버거(비건), 어썸버거(비건)"
180,롯데리아 (NC백화점 강서),양식,02-2667-9825,강서구,서울 강서구 강서로56길 17 NC백화점 강서점 B1,"리아미라클버거(비건), 어썸버거(비건)"
181,롯데리아 (가든파이브),양식,02-2157-7014,송파구,서울 송파구 충민로 66 NC백화점 송파점 가든파이브라이프영관 B1,"리아미라클버거(비건), 어썸버거(비건)"
182,롯데리아 (강남우성사거리0,양식,02-501-4642,강남구,서울 강남구 강남대로 334 SM타워,"리아미라클버거(비건), 어썸버거(비건)"
183,롯데리아 (강남일원),양식,02-451-2211,강남구,서울 강남구 양재대로55길 21,"리아미라클버거(비건), 어썸버거(비건)"
184,롯데리아 (강동구청DT),양식,02-483-1241,강동구,서울 강동구 올림픽로 556 코알라주유소,"리아미라클버거(비건), 어썸버거(비건)"
185,롯데리아 (강변씨네마),양식,02-3424-1274,광진구,서울 광진구 광나루로56길 85 테크노-마트21,"리아미라클버거(비건), 어썸버거(비건)"
186,롯데리아 (강변테크노),양식,02-3424-1126,광진구,서울 광진구 광나루로56길 85 테크노-마트21,"리아미라클버거(비건), 어썸버거(비건)"
187,롯데리아 (강일),양식,0507-1407-0710,강동구,서울 강동구 아리수로93길 33-9 강일프라자,"리아미라클버거(비건), 어썸버거(비건)"
188,롯데리아 (개봉),양식,02-2685-2226,구로구,서울 구로구 경인로47길 26,"리아미라클버거(비건), 어썸버거(비건)"
189,롯데리아 (개봉역),양식,02-2615-7275,구로구,서울 구로구 개봉동 181-13,"리아미라클버거(비건), 어썸버거(비건)"
190,롯데리아 (개포),양식,02-576-0840,강남구,서울 강남구 선릉로 26,"리아미라클버거(비건), 어썸버거(비건)"
191,롯데리아 (건대스타시티),양식,02-2024-1466,광진구,서울 광진구 아차산로 262 더샵스타시티 C동,"리아미라클버거(비건), 어썸버거(비건)"
192,롯데리아 (건대역),양식,02-2218-4550,광진구,서울 광진구 능동로 110,"리아미라클버거(비건), 어썸버거(비건)"
193,롯데리아 (고덕역),양식,0507-1446-9907,강동구,서울 강동구 동남로73길 26 고덕복합빌딩,"리아미라클버거(비건), 어썸버거(비건)"
194,롯데리아 (공릉역),양식,02-977-2430,노원구,서울 노원구 동일로192길 27,"리아미라클버거(비건), 어썸버거(비건)"
195,롯데리아 (구로IT),양식,02-2109-6750,구로구,서울 구로구 디지털로31길 20,"리아미라클버거(비건), 어썸버거(비건)"
196,롯데리아 (구로디지털역),양식,02-857-7698,관악구,서울 관악구 시흥대로 578 광안프라자,"리아미라클버거(비건), 어썸버거(비건)"
197,롯데리아 (구로시장),양식,02-3281-1154,구로구,서울 구로구 도림로 73 인성빌딩,"리아미라클버거(비건), 어썸버거(비건)"
198,롯데리아 (구산역),양식,02-387-6094,은평구,서울 은평구 연서로 130,"리아미라클버거(비건), 어썸버거(비건)"
199,롯데리아 (구의),양식,02-3436-8042,광진구,서울 광진구 강변역로 50 동서울종합터미널,"리아미라클버거(비건), 어썸버거(비건)"
200,롯데리아 (구의역),양식,02-453-1353,광진구,서울 광진구 아차산로 370,"리아미라클버거(비건), 어썸버거(비건)"
201,롯데리아 (구파발역),양식,02-384-4500,은평구,서울 은평구 진관2로 15-40 구파발역 복합환승센터 1층,"리아미라클버거(비건), 어썸버거(비건)"
202,롯데리아 (군자역),양식,02-461-7075,광진구,서울 광진구 천호대로 548,"리아미라클버거(비건), 어썸버거(비건)"
203,롯데리아 (금호),양식,02-2296-2872,성동구,서울 성동구 장터길 23,"리아미라클버거(비건), 어썸버거(비건)"
204,롯데리아 (길동),양식,02-475-6084,강동구,서울 강동구 성내2동 244-3,"리아미라클버거(비건), 어썸버거(비건)"
205,롯데리아 (길음뉴타운점),양식,02-911-7979,성북구,서울 성북구 길음로7길 6 길음뉴타운,"리아미라클버거(비건), 어썸버거(비건)"
206,롯데리아 (김포공항),양식,02-2666-9439,강서구,서울 강서구 하늘길 112 김포공항국내선청사4층,"리아미라클버거(비건), 어썸버거(비건)"
207,롯데리아 (까치산역),양식,02-2692-0042,강서구,서울 강서구 강서로 35 롯데리아,"리아미라클버거(비건), 어썸버거(비건)"
208,롯데리아 (남부터미널),양식,02-523-1800,서초구,서울 서초구 효령로 289 장곡빌딩 103호,"리아미라클버거(비건), 어썸버거(비건)"
209,롯데리아 (남성역),양식,02-588-0992,동작구,서울 동작구 사당로 200 1층 롯데리아 남성역점,"리아미라클버거(비건), 어썸버거(비건)"
210,롯데리아 (노량진),양식,02-821-0308,동작구,서울 동작구 장승배기로 171?아이비빌딩 1층,"리아미라클버거(비건), 어썸버거(비건)"
211,롯데리아 (노원역),양식,02-932-1756,노원구,서울 노원구 상계로 64,"리아미라클버거(비건), 어썸버거(비건)"
212,롯데리아 (녹번),양식,02-388-7973,은평구,서울 은평구 은평로 206,"리아미라클버거(비건), 어썸버거(비건)"
213,롯데리아 (답십리),양식,0507-1401-7619,성동구,서울 성동구 천호대로 308 인암빌딩,"리아미라클버거(비건), 어썸버거(비건)"
214,롯데리아 (대림역),양식,02-835-2220,영등포구,서울 영등포구 도림로 148 대림빌딩,"리아미라클버거(비건), 어썸버거(비건)"
215,롯데리아 (대방역),양식,02-849-7688,영등포구,서울 영등포구 영등포로 416,"리아미라클버거(비건), 어썸버거(비건)"
216,롯데리아 (덕성여대),양식,02-900-9006,강북구,서울 강북구 삼양로 507,"리아미라클버거(비건), 어썸버거(비건)"
217,롯데리아 (동대문광장),양식,02-742-5747,종로구,서울 종로구 종로 286 이스턴호텔,"리아미라클버거(비건), 어썸버거(비건)"
218,롯데리아 (동대문역사문화공원역),양식,02-2265-0374,중구,서울 중구 을지로 255,"리아미라클버거(비건), 어썸버거(비건)"
219,롯데리아 (동묘역),양식,02-764-5333,종로구,서울 종로구 종로 336,"리아미라클버거(비건), 어썸버거(비건)"
220,롯데리아 (뚝섬유원지),양식,02-498-5588,광진구,서울 광진구 능동로 7 한강복합빌딩,"리아미라클버거(비건), 어썸버거(비건)"
221,롯데리아 (롯데노원),양식,02-950-2079,노원구,서울 노원구 동일로 1414,"리아미라클버거(비건), 어썸버거(비건)"
222,롯데리아 (롯데마트 강변),양식,02-3424-2567,광진구,서울 광진구 광나루로56길 85 테크노-마트21,"리아미라클버거(비건), 어썸버거(비건)"
223,롯데리아 (롯데마트 행당역),양식,0507-1439-4202,성동구,서울 성동구 행당동 328,"리아미라클버거(비건), 어썸버거(비건)"
224,롯데리아 (롯데마트삼양),양식,02-980-3777,강북구,서울 강북구 미아동 833,"리아미라클버거(비건), 어썸버거(비건)"
225,롯데리아 (롯데마트서울양평),양식,02-2069-2195,영등포구,서울 영등포구 선유로 138,"리아미라클버거(비건), 어썸버거(비건)"
226,롯데리아 (롯데마트송파),양식,02-409-4447,송파구,서울 송파구 중대로 80 GS마트,"리아미라클버거(비건), 어썸버거(비건)"
227,롯데리아 (롯데마트중계),양식,02-3391-9711,노원구,서울 노원구 노원로 330 롯데마트중계점 B1,"리아미라클버거(비건), 어썸버거(비건)"
228,롯데리아 (롯데백잠실광장),양식,02-2143-1846,송파구,서울 송파구 올림픽로 240 지하 1층,"리아미라클버거(비건), 어썸버거(비건)"
229,롯데리아 (롯데백화점 김포공항),양식,02-6116-5420,강서구,서울 강서구 하늘길 38 롯데백화점김포공항점 B1,"리아미라클버거(비건), 어썸버거(비건)"
230,롯데리아 (롯데월드),양식,02-3431-7166,송파구,서울 송파구 올림픽로 240 1층 롯데월드 스포츠센타,"리아미라클버거(비건), 어썸버거(비건)"
231,롯데리아 (마곡역),양식,0507-1384-8040,강서구,서울 강서구 마곡서로 56,"리아미라클버거(비건), 어썸버거(비건)"
232,롯데리아 (마들역),양식,02-938-4604,노원구,서울 노원구 동일로 1532 거북빌딩,"리아미라클버거(비건), 어썸버거(비건)"
233,롯데리아 (마천),양식,02-407-6882,송파구,서울 송파구 마천로 315?현대그린빌,"리아미라클버거(비건), 어썸버거(비건)"
234,롯데리아 (망우),양식,02-493-6944,중랑구,서울 중랑구 봉우재로 239 천우빌딩,"리아미라클버거(비건), 어썸버거(비건)"
235,롯데리아 (면목중앙),양식,02-439-8245,중랑구,서울 중랑구 면목로 415,"리아미라클버거(비건), 어썸버거(비건)"
236,롯데리아 (명지대학),양식,02-302-5959,서대문구,서울 서대문구 거북골로 31,"리아미라클버거(비건), 어썸버거(비건)"
237,롯데리아 (목동),양식,02-2061-5455,양천구,서울 양천구 신목로 72,"리아미라클버거(비건), 어썸버거(비건)"
238,롯데리아 (목동사거리),양식,02-2644-7800,양천구,서울 양천구 등촌로 28,"리아미라클버거(비건), 어썸버거(비건)"
239,롯데리아 (목동킴스클럽),양식,02-2644-3994,양천구,서울 양천구 목동동로 309,"리아미라클버거(비건), 어썸버거(비건)"
240,롯데리아 (목동행복한백화점),양식,02-6678-3651,양천구,서울 양천구 목동동로 309,"리아미라클버거(비건), 어썸버거(비건)"
241,롯데리아 (문정로데오),양식,02-448-3232,송파구,서울 송파구 동남로 134 명노빌딩,"리아미라클버거(비건), 어썸버거(비건)"
242,롯데리아 (미아삼거리),양식,02-945-4162,성북구,서울 성북구 도봉로 29,"리아미라클버거(비건), 어썸버거(비건)"
243,롯데리아 (발산역),양식,02-3665-8382,강서구,서울 강서구 강서로56길 24,"리아미라클버거(비건), 어썸버거(비건)"
244,롯데리아 (방배역),양식,02-588-1405,서초구,서울 서초구 방배로 96 1층,"리아미라클버거(비건), 어썸버거(비건)"
245,롯데리아 (방이역),양식,02-422-1990,송파구,서울 송파구 마천로 23,"리아미라클버거(비건), 어썸버거(비건)"
246,롯데리아 (방학),양식,02-955-9538,도봉구,서울 도봉구 방학로 173,"리아미라클버거(비건), 어썸버거(비건)"
247,롯데리아 (방화),양식,02-2661-3388,강서구,서울 강서구 양천로 73 멤브로메디컬센터,"리아미라클버거(비건), 어썸버거(비건)"
248,롯데리아 (번동DT),양식,02-998-3330,강북구,서울 강북구 한천로 963,"리아미라클버거(비건), 어썸버거(비건)"
249,롯데리아 (보광),양식,02-792-9663,용산구,서울 용산구 보광로 24,"리아미라클버거(비건), 어썸버거(비건)"
250,롯데리아 (보라매타운),양식,02-849-9186,동작구,서울 동작구 보라매로5길 35,"리아미라클버거(비건), 어썸버거(비건)"
251,롯데리아 (보문역),양식,02-921-4542,성북구,서울 성북구 보문로 99,"리아미라클버거(비건), 어썸버거(비건)"
252,롯데리아 (봉천),양식,02-885-3274,관악구,서울 관악구 관악로 212 관악프라자,"리아미라클버거(비건), 어썸버거(비건)"
253,롯데리아 (봉천역),양식,02-889-1305,관악구,서울 관악구 남부순환로 1724,"리아미라클버거(비건), 어썸버거(비건)"
254,롯데리아 (불광),양식,02-383-4553,은평구,서울 은평구 통일로 741 이연빌딩,"리아미라클버거(비건), 어썸버거(비건)"
255,롯데리아 (사가정역),양식,02-438-0811,중랑구,서울 중랑구 면목로 333 조희중산부인과의원,"리아미라클버거(비건), 어썸버거(비건)"
256,롯데리아 (사당),양식,02-522-3530,서초구,서울 서초구 동작대로 24,"리아미라클버거(비건), 어썸버거(비건)"
257,롯데리아 (삼양사거리),양식,02-980-0706,강북구,서울 강북구 솔샘로 237,"리아미라클버거(비건), 어썸버거(비건)"
258,롯데리아 (상계),양식,02-930-9912,노원구,서울 노원구 한글비석로 369 코끼리약국,"리아미라클버거(비건), 어썸버거(비건)"
259,롯데리아 (상봉역),양식,050-7984-4222,중랑구,서울 중랑구 망우로 282-1,"리아미라클버거(비건), 어썸버거(비건)"
260,롯데리아 (상일동),양식,02-441-3888,강동구,서울 강동구 상일로 33,"리아미라클버거(비건), 어썸버거(비건)"
261,롯데리아 (서대문역),양식,02-312-9760,서대문구,서울 서대문구 통일로 127,"리아미라클버거(비건), 어썸버거(비건)"
262,롯데리아 (서울대),양식,02-877-8444,관악구,서울 관악구 관악로 1,"리아미라클버거(비건), 어썸버거(비건)"
263,롯데리아 (서울대입구역),양식,02-883-6816,관악구,서울 관악구 관악로 165,"리아미라클버거(비건), 어썸버거(비건)"
264,롯데리아 (서울역광장),양식,02-393-8781,용산구,서울 용산구 한강대로 405,"리아미라클버거(비건), 어썸버거(비건)"
265,롯데리아 (서울역사),양식,02-393-9375,용산구,서울 용산구 한강대로 405,"리아미라클버거(비건), 어썸버거(비건)"
266,롯데리아 (석계),양식,02-909-3937,노원구,서울 노원구 화랑로 325 우현빌딩,"리아미라클버거(비건), 어썸버거(비건)"
267,롯데리아 (석관),양식,02-968-1149,성북구,서울 성북구 돌곶이로 75,"리아미라클버거(비건), 어썸버거(비건)"
268,롯데리아 (선릉),양식,0507-1423-5939,강남구,서울 강남구 테헤란로 316 메트라이프타워,"리아미라클버거(비건), 어썸버거(비건)"
269,롯데리아 (성대시장),양식,02-822-8303,동작구,서울 동작구 상도로 102 성대시장,"리아미라클버거(비건), 어썸버거(비건)"
270,롯데리아 (성수역),양식,,성동구,서울 성동구 아차산로7길 28 성수쇼핑센터,"리아미라클버거(비건), 어썸버거(비건)"
271,롯데리아 (성신여대),양식,02-922-0902,성북구,서울 성북구 동소문로 117,"리아미라클버거(비건), 어썸버거(비건)"
272,롯데리아 (세곡),양식,02-459-9999,강남구,서울 강남구 헌릉로 569,"리아미라클버거(비건), 어썸버거(비건)"
273,롯데리아 (세이브마트),양식,02-830-2080,관악구,서울 관악구 난곡로 220 세이브마트,"리아미라클버거(비건), 어썸버거(비건)"
274,롯데리아 (소공2호),양식,02-756-7858,중구,서울 중구 을지로 30 롯데백화점 본점 지하 1층,"리아미라클버거(비건), 어썸버거(비건)"
275,롯데리아 (송파),양식,02-412-8401,송파구,서울 송파구 가락로 16 파인힐빌딩,"리아미라클버거(비건), 어썸버거(비건)"
276,롯데리아 (송파삼전),양식,02-413-1260,송파구,서울 송파구 백제고분로 254 유림빌딩,"리아미라클버거(비건), 어썸버거(비건)"
277,롯데리아 (송파하비오),양식,02-449-3391,송파구,"서울 송파구 송파대로 111 205동 115,116,118호","리아미라클버거(비건), 어썸버거(비건)"
278,롯데리아 (수락산역),양식,02-931-4501,노원구,서울 노원구 동일로 1668,"리아미라클버거(비건), 어썸버거(비건)"
279,롯데리아 (수서역),양식,02-459-9424,강남구,서울 강남구 밤고개로 99,"리아미라클버거(비건), 어썸버거(비건)"
280,롯데리아 (숙대입구역),양식,02-718-9861,용산구,서울 용산구 한강대로 283?,"리아미라클버거(비건), 어썸버거(비건)"
281,롯데리아 (숭실대입구역),양식,02-826-9935,동작구,서울 동작구 상도로 352,"리아미라클버거(비건), 어썸버거(비건)"
282,롯데리아 (신곡시장),양식,02-2275-7997,양천구,서울 양천구 신월로 164,"리아미라클버거(비건), 어썸버거(비건)"
283,롯데리아 (신당역),양식,02-2233-2930,중구,서울 중구 퇴계로 428-1,"리아미라클버거(비건), 어썸버거(비건)"
284,롯데리아 (신도림역),양식,02-3439-8100,구로구,서울 구로구 경인로 661 신도림1차푸르지오,"리아미라클버거(비건), 어썸버거(비건)"
285,롯데리아 (신림녹두),양식,0507-1498-4002,관악구,서울 관악구 신림로23길 16 1층,"리아미라클버거(비건), 어썸버거(비건)"
286,롯데리아 (신림역),양식,02-888-0702,관악구,서울 관악구 남부순환로 1610,"리아미라클버거(비건), 어썸버거(비건)"
287,롯데리아 (신방화역),양식,0507-1390-5600,강서구,서울 강서구 마곡중앙5로 81,"리아미라클버거(비건), 어썸버거(비건)"
288,롯데리아 (신정네거리),양식,02-2608-1712,양천구,서울 양천구 중앙로 277,"리아미라클버거(비건), 어썸버거(비건)"
289,롯데리아 (쌍문역),양식,02-995-6263,도봉구,서울 도봉구 도봉로 484,"리아미라클버거(비건), 어썸버거(비건)"
290,롯데리아 (아차산역),양식,02-453-6535,광진구,서울 광진구 천호대로 665,"리아미라클버거(비건), 어썸버거(비건)"
291,롯데리아 (암사역),양식,02-426-4800,강동구,서울 강동구 올림픽로 792,"리아미라클버거(비건), 어썸버거(비건)"
292,롯데리아 (양재동),양식,02-577-4618,서초구,서울 서초구 동산로 22,"리아미라클버거(비건), 어썸버거(비건)"
293,롯데리아 (언더랜드),양식,02-411-0539,송파구,서울 송파구 올림픽로 240 지하 1층 Y-39호,"리아미라클버거(비건), 어썸버거(비건)"
294,롯데리아 (여의도선착장),양식,02-786-7531,영등포구,서울 영등포구 여의동로 280,"리아미라클버거(비건), 어썸버거(비건)"
295,롯데리아 (역삼),양식,02-3453-4054,강남구,서울 강남구 테헤란로 116 동경빌딩,"리아미라클버거(비건), 어썸버거(비건)"
296,롯데리아 (염창),양식,02-3662-1333,강서구,서울 강서구 양천로 657 우계상가,"리아미라클버거(비건), 어썸버거(비건)"
297,롯데리아 (영등포롯데),양식,02-2631-3433,영등포구,서울 영등포구 경인로 846 롯데백화점 영등포점 지하1층,"리아미라클버거(비건), 어썸버거(비건)"
298,롯데리아 (영등포역사),양식,02-2632-4157,영등포구,서울 영등포구 경인로 846 롯데백화점 영등포점 3층,"리아미라클버거(비건), 어썸버거(비건)"
299,롯데리아 (영등포타임스퀘어B2),양식,02-2677-0501,영등포구,서울 영등포구 영중로 15 타임스퀘어 B2 B209,"리아미라클버거(비건), 어썸버거(비건)"
300,롯데리아 (오금),양식,02-3012-8718,송파구,서울 송파구 동남로 313,"리아미라클버거(비건), 어썸버거(비건)"
301,롯데리아 (오류동역),양식,02-2613-3005,구로구,서울 구로구 경인로20길 10 1층,"리아미라클버거(비건), 어썸버거(비건)"
302,롯데리아 (왕십리역),양식,0507-1376-7111,성동구,서울 성동구 왕십리광장로 17,"리아미라클버거(비건), 어썸버거(비건)"
303,롯데리아 (외대역),양식,02-963-8855,동대문구,서울 동대문구 휘경로 5-1,"리아미라클버거(비건), 어썸버거(비건)"
304,롯데리아 (용산역사),양식,02-2012-0430,용산구,서울 용산구 한강대로23길 55 용산민자역사,"리아미라클버거(비건), 어썸버거(비건)"
305,롯데리아 (용산역사ST),양식,02-749-1258,용산구,서울 용산구 한강대로23길 55,"리아미라클버거(비건), 어썸버거(비건)"
306,롯데리아 (응암),양식,02-357-7184,은평구,서울 은평구 은평로 136 은경빌딩,"리아미라클버거(비건), 어썸버거(비건)"
307,롯데리아 (응암오거리),양식,02-308-9341,은평구,서울 은평구 응암로 177,"리아미라클버거(비건), 어썸버거(비건)"
308,롯데리아 (이대),양식,02-312-3468,서대문구,서울 서대문구 이화여대길 59 1층,"리아미라클버거(비건), 어썸버거(비건)"
309,롯데리아 (이수역),양식,02-594-1199,동작구,서울 동작구 동작대로 129,"리아미라클버거(비건), 어썸버거(비건)"
310,롯데리아 (잠실롯데월드몰B1),양식,02-3213-4785,송파구,서울 송파구 올림픽로 300 롯데월드몰 B1,"리아미라클버거(비건), 어썸버거(비건)"
311,롯데리아 (잠실새내),양식,02-413-1260,송파구,서울 송파구 올림픽로 114,"리아미라클버거(비건), 어썸버거(비건)"
312,롯데리아 (잠실아이스링크),양식,02-411-0621,송파구,서울 송파구 올림픽로 240,"리아미라클버거(비건), 어썸버거(비건)"
313,롯데리아 (장안사거리),양식,02-2245-9730,동대문구,서울 동대문구 답십리로 287,"리아미라클버거(비건), 어썸버거(비건)"
314,롯데리아 (정릉),양식,02-942-9115,성북구,서울 성북구 보국문로8길 4,"리아미라클버거(비건), 어썸버거(비건)"
315,롯데리아 (제기역),양식,02-928-4455,동대문구,서울 동대문구 왕산로 86,"리아미라클버거(비건), 어썸버거(비건)"
316,롯데리아 (종암),양식,02-921-5222,성북구,서울 성북구 종암로 93,"리아미라클버거(비건), 어썸버거(비건)"
317,롯데리아 (중곡),양식,02-463-9677,광진구,서울 광진구 면목로 136 창원빌딩,"리아미라클버거(비건), 어썸버거(비건)"
318,롯데리아 (중랑역),양식,02-2208-2544,중랑구,서울 중랑구 망우로 192,"리아미라클버거(비건), 어썸버거(비건)"
319,롯데리아 (중앙대),양식,02-817-3200,동작구,서울 동작구 흑석로 110-1,"리아미라클버거(비건), 어썸버거(비건)"
320,롯데리아 (중화역),양식,02-496-8028,중랑구,서울 중랑구 동일로 802,"리아미라클버거(비건), 어썸버거(비건)"
321,롯데리아 (창동역),양식,02-900-2033,도봉구,서울 도봉구 노해로63길 78,"리아미라클버거(비건), 어썸버거(비건)"
322,롯데리아 (창천),양식,0507-1323-8884,서대문구,서울 서대문구 신촌로 15,"리아미라클버거(비건), 어썸버거(비건)"
323,롯데리아 (천왕역),양식,02-2686-8077,구로구,서울 구로구 오리로 1149,"리아미라클버거(비건), 어썸버거(비건)"
324,롯데리아 (천호역),양식,02-488-7165,강동구,서울 강동구 올림픽로 654 삼영빌딩,"리아미라클버거(비건), 어썸버거(비건)"
325,롯데리아 (청량리),양식,02-965-5953,동대문구,서울 동대문구 왕산로 209,"리아미라클버거(비건), 어썸버거(비건)"
326,롯데리아 (청량리),양식,02-965-5953,동대문구,서울 동대문구 왕산로 209,"리아미라클버거(비건), 어썸버거(비건)"
327,롯데리아 (청량리역),양식,0507-1330-5433,동대문구,서울 동대문구 왕산로 214 청량리역사 3층,"리아미라클버거(비건), 어썸버거(비건)"
328,롯데리아 (캐슬플라자),양식,02-2146-2227,송파구,서울 송파구 올림픽로 269 롯데캐스잠실점 지하 1층,"리아미라클버거(비건), 어썸버거(비건)"
